name,country,trbceconomicsectorname,pagespdf
AMAG Austria Metall AG,Austria,Basic Materials,115
Raiffeisen Bank International AG,Austria,Financials,344
Porr AG,Austria,Industrials,136
Lenzing AG,Austria,Basic Materials,201
Erste Group Bank AG,Austria,Financials,212
Telekom Austria AG,Austria,Technology,88
OMV AG,Austria,Energy,328
Verbund AG,Austria,Utilities,192
Palfinger AG,Austria,Industrials,110
Semperit Holding AG,Austria,Consumer Cyclicals,134
Wienerberger AG,Austria,Basic Materials,110
Mayr-Melnhof Karton AG,Austria,Basic Materials,94
Schoeller-Bleckmann Oilfield Equipment AG,Austria,Energy,204
Oesterreichische Post AG,Austria,Industrials,116
Ucb SA,Belgium,Healthcare,82
Deceuninck NV,Belgium,Consumer Cyclicals,54
Groep Brussel Lambert NV,Belgium,Financials,614
Anheuser-Busch Inbev SA,Belgium,Consumer Non-Cyclicals,37
Barco NV,Belgium,Technology,58
Syensqo NV,Belgium,Basic Materials,129
BW Offshore Ltd,Bermuda,Energy,108
Coca Cola HBC AG,Switzerland,Consumer Non-Cyclicals,132
Helvetia Holding AG,Switzerland,Financials,185
Trifork Group AG,Switzerland,Technology,61
DSM-Firmenich AG,Switzerland,Consumer Non-Cyclicals,56
Deutsche Bank AG,Germany,Financials,159
Bayerische Motoren Werke AG,Germany,Consumer Cyclicals,155
EnBW Energie Baden Wuerttemberg AG,Germany,Utilities,116
Continental AG,Germany,Consumer Cyclicals,125
Lanxess AG,Germany,Basic Materials,138
Deutsche Post AG,Germany,Industrials,67
Deutsche Telekom AG,Germany,Technology,85
Fresenius SE & Co KGaA,Germany,Healthcare,154
Fresenius Medical Care AG,Germany,Healthcare,103
Deutsche Boerse AG,Germany,Financials,65
Bilfinger SE,Germany,Industrials,198
Covestro AG,Germany,Basic Materials,111
Hochtief AG,Germany,Industrials,235
Jungheinrich AG,Germany,Industrials,75
ProCredit Holding AG,Germany,Financials,147
Merck KGaA,Germany,Healthcare,193
GEA Group AG,Germany,Industrials,172
Puma SE,Germany,Consumer Cyclicals,144
Rheinmetall AG,Germany,Industrials,61
RWE AG,Germany,Utilities,113
Mercedes-Benz Group AG,Germany,Consumer Cyclicals,145
SAP SE,Germany,Technology,114
Sartorius AG,Germany,Healthcare,100
Volkswagen AG,Germany,Consumer Cyclicals,240
Deutsche Lufthansa AG,Germany,Industrials,134
Allianz SE,Germany,Financials,133
Muenchener Rueckversicherungs-Gesellschaft in Muenchen AG,Germany,Financials,103
Nordex SE,Germany,Industrials,130
MTU Aero Engines AG,Germany,Industrials,103
Aixtron SE,Germany,Technology,87
freenet AG,Germany,Technology,76
Scout24 SE,Germany,Technology,55
Brenntag SE,Germany,Basic Materials,61
Adidas AG,Germany,Consumer Cyclicals,218
Vonovia SE,Germany,Real Estate,108
Jenoptik AG,Germany,Technology,64
TeamViewer SE,Germany,Technology,53
BASF SE,Germany,Basic Materials,181
Bayer AG,Germany,Healthcare,144
Commerzbank AG,Germany,Financials,255
Daimler Truck Holding AG,Germany,Industrials,98
E.ON SE,Germany,Utilities,54
Evonik Industries AG,Germany,Basic Materials,133
Hensoldt AG,Germany,Industrials,59
Hapag-Lloyd AG,Germany,Industrials,175
Knorr Bremse AG,Germany,Industrials,79
Kion Group AG,Germany,Industrials,130
K+S AG,Germany,Basic Materials,94
LEG Immobilien SE,Germany,Real Estate,71
Dr Ing hc F Porsche AG,Germany,Consumer Cyclicals,89
Prosiebensat 1 Media SE,Germany,Consumer Cyclicals,87
RENK Group AG,Germany,Consumer Cyclicals,71
Schaeffler AG,Germany,Consumer Cyclicals,76
Talanx AG,Germany,Financials,105
Traton SE,Germany,Industrials,79
Uniper SE,Germany,Utilities,159
Wacker Chemie AG,Germany,Basic Materials,108
Zalando SE,Germany,Technology,131
Carlsberg A/S,Denmark,Consumer Non-Cyclicals,59
Copenhagen Airports A/S,Denmark,Industrials,97
FLSmidth & Co A/S,Denmark,Basic Materials,70
AP Moeller - Maersk A/S,Denmark,Industrials,83
MT Hoejgaard Holding A/S,Denmark,Industrials,65
Genmab A/S,Denmark,Healthcare,57
GN Store Nord A/S,Denmark,Technology,65
Danske Bank A/S,Denmark,Financials,84
Solar A/S,Denmark,Industrials,55
Nkt A/S,Denmark,Industrials,60
Bavarian Nordic A/S,Denmark,Healthcare,72
Spar Nord Bank A/S,Denmark,Financials,60
DSV A/S,Denmark,Industrials,43
Oersted A/S,Denmark,Utilities,101
Pandora A/S,Denmark,Consumer Cyclicals,55
Novozymes A/S,Denmark,Basic Materials,70
ISS A/S,Denmark,Industrials,52
NNIT A/S,Denmark,Technology,75
Royal Unibrew A/S,Denmark,Consumer Non-Cyclicals,70
Tryg A/S,Denmark,Financials,79
DFDS A/S,Denmark,Industrials,74
Demant A/S,Denmark,Healthcare,66
Ringkjoebing Landbobank A/S,Denmark,Financials,99
